단축코드,표준코드,한글종목명,상장일자,현재가,상장주수,시장구분,상한가,상한가2,하한가,전일종가,시가,고가,저가,종가,누적거래량,기준가,52주최저가,52주최고가,52주최고가일,52주최고대비율,52주최저가일,52주최저대비율,w52저가
403810,KR7403810005,아이엘로보틱스                          S,0253NNN,23100000,00020241,0,000000000,000000000,000000000,000000000,0 N 0,460012,000099373,700000000,5111800000000000993,000100202,261000000,000000017,0100N090,0NNN00000,0001NNN0,550000010,T000002
413300,KR7413300005,티엘엔지니어링                          S,0026NNN,23100000,03920241,0,0004-0000,00000006-,00000004-,00000137-,0 N 0,750012,000067575,100000000,2092700000000000135,000500202,453000000,000000000,0100N090,0NNN00000,0001NNN0,973000010,T000001
434190,KR7434190005,탈로스                                  S,0265NNN,23100000,00420241,0,000700000,000000090,000000070,000001240,0 N 0,700012,000368471,900000000,2102400000000000736,000500202,142000000,000000000,0100N090,0NNN00000,0001NNN0,600000010,T000003
446440,KR7446440000,에피바이오텍                            S,0322NNN,23100000,10220241,0,0017-0000,00000017-,00000030-,00000007-,0 N 0,950012,000115343,600000000,3073100000000000230,000500202,001000000,000000000,0100N090,0NNN00000,0001NNN0,990000010,T000013
447690,KR7447690009,아이오바이오                            S,0068NNN,23100000,00020241,0,0048-3610,00000048-,00000045-,00000023-,0 N 0,800012,000131512,000000000,2122800000000000263,000500202,002000000,000000000,0100N090,0NNN00000,0001NNN0,600000010,T000002
448780,KR7448780007,마이크로엔엑스                          S,0023NNN,23100000,00020241,0,000500000,000000050,000000050,000000840,0 N 0,000012,000133884,700000000,2122100000000000267,000500202,053000000,000000000,0100N090,0NNN00000,0001NNN0,859000010,T000000
456190,KR7456190008,큐라켐                                  S,0130NNN,23100000,00320241,0,0003-0000,00000003-,00000004-,00000054-,0 N 0,300012,000087714,400000000,3051800000000000175,000500202,135000000,000000000,0100N090,0NNN00000,0001NNN0,420000010,T000007
456570,KR7456570001,아이엠지티                              S,0605NNN,23100000,00020251,0,040000000,00000400-,00000056-,00000000-,0 N 0,200012,000263240,400000000,3071900000000000526,000500202,429000000,000000000,0100N090,0NNN00000,0001NNN0,500000010,T000011
476710,KR7476710009,타조이엔터테인먼트                      S,0183NNN,23100000,05020241,0,001100000,000000130,000000130,000001320,0 N 0,000012,000010000,000000000,4103000000000000100,000100202,100000000,000000000,0100N090,0NNN00000,0001NNN0,320000010,T000018
495810,KR7495810004,유비씨                                  S,0328NNN,23100000,69120241,0,0021-0000,00000021-,00000020-,00000052-,0 N 0,000012,000025000,000000000,4122300000000000250,000100202,000000000,000000000,0100N090,0NNN00000,0001NNN0,120000010,T000013
496320,KR7496320003,본시스템즈                              S,0393NNN,23100001,00020241,0,000000000,000000000,000000000,000000000,0 N 0,730012,000010159,500000000,5090800000000000101,000100202,000000000,000000000,0100N090,0NNN00000,0001NNN0,000000010,T001023
