단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSDAQ섹터업종,KOSDAQ100,KOSDAQ150,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터보험,KRX섹터운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSDAQ,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
005290,KR7005290002,동진쎄미켐,ST,1.0,1009,1023,0,N,N,Y,,N,N,N,N,N,N,Y,N,0,N,N,N,N,N,N,N,Y,0,0,0,0,5,770000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,75974800000,50019991,22100000,5097000000,2570724700012,,0 NY0,0,0,0,0,3,281000000,666000000,956006690,0,12202603,31000029,409   NNN,,,,
0054V0,KR70054V0002,엔에이치스팩32호,ST,0.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,0,0,0,0,0,203000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,518700000,10020251,20500000,621600000,62165000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,0,0,126   NNN,,,,
005670,KR7005670005,푸드웰,ST,3.0,1009,1019,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,633000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,8504900000,50019931,20700000,1000000000,500000000012,,0 NN0,0,0,0,0,0,851000000,058000000,055000410,0,12202603,31000000,633   NNN,,,,
005710,KR7005710009,대원산업,ST,2.0,1009,1030,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,1,110000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,3095800000,50019930,62100000,2003700000,1001880000012,,0 NN0,0,0,0,0,2,358000000,111000000,211001910,0,13202603,31000002,224   NNN,,,,
005860,KR7005860002,한일사료,ST,3.0,1009,1019,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,306000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,111479800000,50019941,10700000,3940300000,1970184250012,,0 NN0,0,0,0,0,1,255000000,015000000,021000180,0,5202603,31000001,205   NNN,,,,
005990,KR7005990007,매일홀딩스,ST,3.0,1009,1019,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,1,248000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,842800000,50019990,51400000,1329800000,685915200012,,0 NN0,0,0,0,2,1,962000000,640000000,940007020,0,8202512,31000001,659   NNN,,,,
006050,KR7006050009,국영지앤엠,ST,3.0,1009,1025,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,88900001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,36608700000,50019941,700000,3489500000,1744762150012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,202509,30000000,310   NNN,,,,
006140,KR7006140008,피제이전자,ST,3.0,1009,1029,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,589000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,8664000000,50019931,20700000,1486500000,750000000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,202509,30000000,875   NNN,,,,
006620,KR7006620009,동구바이오제약,ST,3.0,1009,1024,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,0,435000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,55420400000,50020180,21300000,2846400000,1423249600012,,0 NN0,0,0,0,0,0,581000000,018-00000,006-00060,0,40202603,31000001,238   NNN,,,,
006730,KR7006730006,서부T&D,ST,2.0,1006,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,0,0,0,0,1,91000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,72847200000,50019951,600000,6492600000,3371346150012,,0 NN0,0,0,0,0,2,483000000,703000001,484011620,0,8202512,31000007,083   NNN,,,,
0068Y0,KR70068Y0003,비엔케이제3호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,0,0,0,0,0,200500001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,44700000,10020251,12100000,431000000,43100000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,0,0,086   NNN,,,,
006910,KR7006910004,보성파워텍,ST,2.0,1009,1026,0,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,Y,N,N,N,0,0,0,0,0,979000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,183066500000,50019940,90700000,4912900000,2456491200012,,0 NN0,0,0,0,0,0,771000000,048000000,057000600,0,7202412,31000004,809   NNN,,,,
006920,KR7006920003,모헨즈,ST,3.0,1009,1025,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,344000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,22333000000,50019890,10500000,1092000000,546000000012,,0 NN0,0,0,0,0,0,178-00000,007-00000,007-0007-,0,8202603,31000000,375   NNN,,,,
0071M0,KR70071M0002,삼성스팩11호,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,0,0,0,0,0,200000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,204100000,10020250,93000000,576000000,57600000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,0,0,115   NNN,,,,
0072Z0,KR70072Z0006,KB제33호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,0,0,0,0,0,200000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,1059300000,10020250,93000000,788500000,78850000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,0,0,157   NNN,,,,
007330,KR7007330004,푸른저축은행,ST,3.0,1014,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,0,0,0,0,1,110000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,2485100000,100019931,20700000,1508200000,1508280000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,202509,30000001,674144NNN,,,,
007370,KR7007370000,진양제약,ST,3.0,1009,1024,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,444000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,1690200000,50020000,72700000,1413400000,706729350012,,0 NN0,0,0,0,0,1,133000000,117000000,371002970,0,28202412,31000000,627   NNN,,,,
007390,KR7007390008,네이처셀,ST,1.0,1009,1024,0,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,0,0,0,0,3,230000001,1,NNN02,N,N,N,0,0,0,0,1,0,N0,900,0,0,243410700000,50019921,13000000,6443500000,3221752800012,,0 NY0,0,0,0,0,0,041-00000,013-00000,011-0011-,0,4202603,31000020,812   NNN,,,,
