구분코드,심볼,영문명,한글명,종목업종코드,다우30편입여부,나스닥100편입여부,SP500편입여부,거래소코드,국가구분코드
H,CH:508012 ,508012,508012,    , , , ,SHSE,CH 
H,CH:508015 ,508015,508015,    , , , ,SHSE,CH 
H,CH:508016 ,508016,508016,    , , , ,SHSE,CH 
H,CH:508017 ,508017,508017,    , , , ,SHSE,CH 
H,CH:508018 ,508018,508018,    , , , ,SHSE,CH 
H,CH:508019 ,508019,508019,    , , , ,SHSE,CH 
H,CH:508020 ,508020,508020,    , , , ,SHSE,CH 
H,CH:508021 ,508021,508021,    , , , ,SHSE,CH 
H,CH:508022 ,508022,508022,    , , , ,SHSE,CH 
H,CH:508026 ,508026,508026,    , , , ,SHSE,CH 
H,CH:508027 ,508027,508027,    , , , ,SHSE,CH 
H,CH:508028 ,508028,508028,    , , , ,SHSE,CH 
H,CH:508029 ,508029,508029,    , , , ,SHSE,CH 
H,CH:508031 ,Guotai Junan Chengtou Kuanting Affordab,Guotai Junan Chengtou Kua,e Re,n,t,a,SHSE,CH 
H,CH:508033 ,508033,508033,    , , , ,SHSE,CH 
H,CH:508036 ,508036,508036,    , , , ,SHSE,CH 
H,CH:508039 ,508039,508039,    , , , ,SHSE,CH 
H,CH:508048 ,508048,508048,    , , , ,SHSE,CH 
H,CH:508050 ,508050,508050,    , , , ,SHSE,CH 
H,CH:508055 ,508055,508055,    , , , ,SHSE,CH 
H,CH:508056 ,508056,508056,    , , , ,SHSE,CH 
H,CH:508058 ,508058,508058,    , , , ,SHSE,CH 
H,CH:508060 ,508060,508060,    , , , ,SHSE,CH 
H,CH:508066 ,508066,508066,    , , , ,SHSE,CH 
H,CH:508068 ,508068,508068,    , , , ,SHSE,CH 
H,CH:508069 ,508069,508069,    , , , ,SHSE,CH 
H,CH:508077 ,508077,508077,    , , , ,SHSE,CH 
H,CH:508078 ,508078,508078,    , , , ,SHSE,CH 
H,CH:508080 ,508080,508080,    , , , ,SHSE,CH 
H,CH:508082 ,508082,508082,    , , , ,SHSE,CH 
H,CH:508084 ,508084,508084,    , , , ,SHSE,CH 
H,CH:508085 ,508085,508085,    , , , ,SHSE,CH 
H,CH:508086 ,508086,508086,    , , , ,SHSE,CH 
H,CH:508087 ,508087,508087,    , , , ,SHSE,CH 
H,CH:508088 ,508088,508088,    , , , ,SHSE,CH 
H,CH:508089 ,508089,508089,    , , , ,SHSE,CH 
H,CH:508090 ,508090,508090,    , , , ,SHSE,CH 
H,CH:508091 ,508091,508091,    , , , ,SHSE,CH 
H,CH:508092 ,508092,508092,    , , , ,SHSE,CH 
H,CH:508093 ,508093,508093,    , , , ,SHSE,CH 
H,CH:508096 ,508096,508096,    , , , ,SHSE,CH 
H,CH:508097 ,508097,508097,    , , , ,SHSE,CH 
H,CH:508098 ,508098,508098,    , , , ,SHSE,CH 
H,CH:508099 ,508099,508099,    , , , ,SHSE,CH 
H,CH:510010 ,Bank Of Communications Schrode,BCOMM-SCH SSE180,    , , , ,SHSE,CH 
H,CH:510020 ,Bosera SSE Large Cap ETF Fund,BOSERA-LRG CAP,    , , , ,SHSE,CH 
H,CH:510030 ,SSE 180 Value ETF,SSE 180 VAL-ETF,    , , , ,SHSE,CH 
H,CH:510040 ,Penghua SSE 180 ETF,Penghua SSE 180 ETF,    , , , ,SHSE,CH 
H,CH:510050 ,China 50 ETF,CHINA AMC-50 ETF,    , , , ,SHSE,CH 
H,CH:510060 ,ICBC Credit Suisse Central 50,ICBC-CS CEN 50,    , , , ,SHSE,CH 
H,CH:510090 ,CCB Social Responsibility Open,CCB SOC RESPONSI,    , , , ,SHSE,CH 
H,CH:510100 ,E Fund SSE 50 ETF,E Fund SSE 50 ETF,    , , , ,SHSE,CH 
H,CH:510130 ,E Fund SSE Mid-cap ETF,E FUND SSE MIDCP,    , , , ,SHSE,CH 
H,CH:510150 ,China Merchants SSE Consumer 8,CHINA MERCH SSE,    , , , ,SHSE,CH 
H,CH:510160 ,China Security Southern Well-o,CHINA WELL-OFF,    , , , ,SHSE,CH 
H,CH:510170 ,GTJA Allianz SSE Commodity Equ,GTJA CMDTY EQUIT,    , , , ,SHSE,CH 
H,CH:510180 ,Shanghai SSE180 ETF,HUAAN-SSE180,    , , , ,SHSE,CH 
H,CH:510190 ,Huaan SSE Industry Top Index E,HUAAN SSE IND,    , , , ,SHSE,CH 
H,CH:510200 ,HORIZON SSE ETF,HORIZON SSE ETF,    , , , ,SHSE,CH 
H,CH:510210 ,Fullgoal Shanghai Composite In,FULLGOAL SCI,    , , , ,SHSE,CH 
H,CH:510230 ,Guotai Shanghai Stock Exchange,GUOTAI SHANGHAI,    , , , ,SHSE,CH 
H,CH:510270 ,Bank of China Investment Manag,CHINA SSE EN 100,    , , , ,SHSE,CH 
H,CH:510280 ,Fortune SGAM SSE 180 Growth In,FORTUNE SSE 180,    , , , ,SHSE,CH 
H,CH:510290 ,China Southern SSE 380 Index E,CHINA SO SSE 380,    , , , ,SHSE,CH 
H,CH:510300 ,Huatai-Pinebridge CSI 300 ETF,HUATAI CSI 300,    , , , ,SHSE,CH 
H,CH:510310 ,E Fund CSI 300 ETF,E FUND CSI 300,    , , , ,SHSE,CH 
H,CH:510320 ,CICC CSI 300 Index ETF,CICC CSI 300 Index ETF,    , , , ,SHSE,CH 
H,CH:510330 ,China AMC CSI 300 Index ETF,CHINA AMC CSI300,    , , , ,SHSE,CH 
H,CH:510350 ,ICBC Credit Suisse CSI300 ETF,ICBC Credit Suisse CSI300,    , , , ,SHSE,CH 
H,CH:510360 ,GF SSE-SZSE 300 Tradable Ope,GF SSE-SZSE 300 Tradable,    , , , ,SHSE,CH 
H,CH:510365 ,510365,510365,    , , , ,SHSE,CH 
H,CH:510370 ,CIB CSI 300 ETF,CIB CSI 300 ETF,    , , , ,SHSE,CH 
H,CH:510380 ,CHINA LIFE AMP CSI 300 ETF,CHINA LIFE AMP CSI 300 ET,    , , , ,SHSE,CH 
H,CH:510390 ,Pingan-UOB CSI 300 ETF Index Launched F,Pingan-UOB CSI 300 ETF In,nd  , , , ,SHSE,CH 
H,CH:510410 ,Bosera SSE Natural Resource In,BOSERA NAT RESOU,    , , , ,SHSE,CH 
H,CH:510420 ,Invesco Great Wall SSE 180 Equ,INV GR WALL SSE,    , , , ,SHSE,CH 
H,CH:510500 ,China CSI 500 ETF,CHINA CSI 500,    , , , ,SHSE,CH 
H,CH:510510 ,Guangfa CSI 500 ETF,GUANGFA CSI 500,    , , , ,SHSE,CH 
H,CH:510530 ,ICBC Credit Suisse CSI 500 ETF,ICBC Credit Suisse CSI 50,    , , , ,SHSE,CH 
H,CH:510550 ,FOUNDER FUBON CSI 500 ETF,FOUNDER FUBON CSI 500 ETF,    , , , ,SHSE,CH 
H,CH:510560 ,China Life AMP CSI 500 ETF,CL-A CSI 500 ETF EQUITY,    , , , ,SHSE,CH 
H,CH:510570 ,CIB CSI 500 ETF,CIB CSI 500 ETF,    , , , ,SHSE,CH 
H,CH:510580 ,E Fund CSI 500 ETF,E Fund CSI 500 ETF,    , , , ,SHSE,CH 
H,CH:510590 ,PINGAN-UOB CSI 500 ETF,PINGAN-UOB CSI 500 ETF,    , , , ,SHSE,CH 
H,CH:510600 ,SWS MU SSE 50 ETF LNCHD FUND,SWS MU SSE 50 ETF LNCHD F,    , , , ,SHSE,CH 
H,CH:510630 ,ChinaAMC SSE Consumer Staples,CHINA CONS STAPL,    , , , ,SHSE,CH 
H,CH:510650 ,ChinaAMC SSE Financials ETF In,CHINA SSE FINANC,    , , , ,SHSE,CH 
H,CH:510660 ,ChinaAMC SSE Health Care ETF I,CHINA SSE HEALTH,    , , , ,SHSE,CH 
H,CH:510670 ,510670,510670,    , , , ,SHSE,CH 
H,CH:510680 ,Wanjia SSE50 ETF,WANJIA SSE380 EF,    , , , ,SHSE,CH 
H,CH:510710 ,Bosera SSE 50 ETF,BOSERA SSE 50 ET EQUITY,    , , , ,SHSE,CH 
H,CH:510720 ,Guotai SSE state-Owned Enterprise Divid,Guotai SSE state-Owned En,nds ,E,T,F,SHSE,CH 
H,CH:510760 ,GUOTAI SSE COMPOSITE ETF,GUOTAI SSE COMPOSITE ETF,    , , , ,SHSE,CH 
H,CH:510770 ,SWS MU SSE G60 COMPONENT ETF,SWS MU SSE G60 COMPONENT,    , , , ,SHSE,CH 
H,CH:510800 ,CCB SSE 50 INDEX ETF,CCB SSE 50 INDEX ETF,    , , , ,SHSE,CH 
H,CH:510810 ,CSI Shanghai SOE ETF,CSI Shanghai SOE ETF,    , , , ,SHSE,CH 
H,CH:510850 ,ICBC CREDITSUISSE SSE 50 ETF,ICBC CREDITSUISSE SSE 50,    , , , ,SHSE,CH 
H,CH:510880 ,Huatai-PineBridge SSE Dividend,HUATAI-PB SSE DI,    , , , ,SHSE,CH 
