유형,채권분류코드,표준코드,종목명,채권이자분류코드,상장일,발행일,상환일
F9,02,KR20040312C5,인천지방채20                            1320121224201212212027122,1,,,N
F9,02,KR20041111C0,인천지방채12-10                         1320111229201112272026122,7,,,N
F9,02,KR2004131539,인천지방채37-13                         1320150310201503092027030,9,,,N
F9,02,KR2004141538,인천지방채37-14                         1320150310201503092028030,9,,,N
F9,02,KR2005011334,광주지방채4                             1320130320201303192028031,9,,,N
F9,02,KR20050113A8,광주지방채6                             1320131002201310012026093,0,,,N
F9,02,KR2005011433,광주지방채7                             1320140325201403242029032,3,,,N
F9,02,KR2005011490,광주지방채8                             1320140926201409252029092,4,,,N
F9,02,KR2005011516,광주지방채9                             1320150202201501302030012,9,,,N
F9,02,KR2005011AC7,광주광역시지방채2020-04                 1320201214202012112026121,1,,,N
F9,02,KR2005011E66,광주광역시지방채2024-01                 1320240605202406042027060,4,,,N
F9,02,KR2005011EC9,광주광역시지방채2024-02                 1320241216202412132027121,2,,,N
F9,02,KR2005011FA0,광주광역시지방채2025-01                 1320251103202510312032103,1,,,N
F9,02,KR2005011FC6,광주광역시지방채2025-03                 1320251215202512122028121,2,,,N
F9,02,KR2005021B75,광주광역시지방채2021-02                 1320210715202107142026071,4,,,N
F9,02,KR2005021DB2,광주광역시지방채2023-01                 1320231122202311212026112,1,,,N
F9,02,KR2005021FB7,광주광역시지방채2025-02                 1320251120202511192030111,9,,,N
F9,02,KR2005031563,광주지방채12                            1320150629201506262027062,5,,,N
F9,02,KR2005031A66,광주광역시지방채2020-03                 1320200619202006182027061,8,,,N
F9,02,KR2005041562,광주지방채13                            1320150629201506262030062,5,,,N
F9,02,KR20060118A5,부산광역시채권2018-9                    1320181026201810252026102,5,,,N
F9,02,KR2006011911,부산광역시채권2019-1                    1320190129201901282027012,8,,,N
F9,02,KR2006011986,부산광역시채권2019-10                   1320190828201908272026082,7,,,N
F9,02,KR2006011994,부산광역시채권2019-12                   1320190924201909232029092,3,,,N
F9,02,KR2006011B67,부산광역시채권2021-2                    1320210617202106162026061,6,,,N
F9,02,KR2006011B75,부산광역시채권2021-3                    1320210715202107142026071,4,,,N
F9,02,KR2006011C33,부산광역시채권2022-1                    1320220331202203302027033,0,,,N
F9,02,KR2006011D65,부산광역시채권2023-1                    1320230602202306012028060,1,,,N
F9,02,KR2006011E31,부산광역시채권2024-1                    1320240321202403202029032,0,,,N
F9,02,KR2006011E64,부산광역시채권2024-2                    1320240701202406282029062,8,,,N
F9,02,KR2006011EC8,부산광역시채권2024-3                    1320241219202412182027121,8,,,N
F9,02,KR2006011F14,부산광역시채권2025-1                    1320250116202501152028011,5,,,N
F9,02,KR2006011F22,부산광역시채권2025-2                    1320250217202502142027021,4,,,N
F9,02,KR2006011F30,부산광역시채권2025-3                    1320250314202503132030031,3,,,N
F9,02,KR2006011F48,부산광역시채권2025-4                    1320250417202504162028041,6,,,N
F9,02,KR2006011F55,부산광역시채권2025-5                    1320250528202505272030052,7,,,N
F9,02,KR2006011F71,부산광역시채권2025-6                    1320250718202507172030071,7,,,N
F9,02,KR2006011F89,부산광역시채권2025-7                    1320250821202508202030082,0,,,N
F9,02,KR2006011FA9,부산광역시채권2025-8                    1320251020202510172027101,7,,,N
F9,02,KR2006011FC5,부산광역시채권2025-9                    1320251219202512182028121,8,,,N
